Area,Year,1. Median,2. Median,3. Median,4. Median,5. Median,6. Median,7. Median,8. Median,9. Median,10. Median
TR82 (Kastamonu Çankırı Sinop),2017,6246.62,9880,11734.02,13580.34,15410.24,16862.51,19095.58,21976.19,29347.9,44078.08
TR83 (Samsun Tokat Çorum Amasya),2017,5940.3,8341.61,10246.02,12315.78,13866.77,16173.75,18806.38,22172.21,26900,44549.81
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2017,6579.33,9356.24,10935.93,12528.51,14045.73,16096.5,18434.04,21401.49,27592.17,41158.97
TRA1 (Erzurum Erzincan Bayburt),2017,5894.15,8604.92,10122.23,11574.83,13298,15044.14,17333.33,19456.56,23489.42,33629.61
TRA2 (Ağrı Kars Iğdır Ardahan),2017,4294.3,6274.73,7371.06,8666.67,9927.27,11625.64,13526.4,16230.77,19328.69,33866.67
TRB1 (Malatya Elazığ Bingöl Tunceli),2017,5862.78,7748.64,9312.86,10828.43,12617.88,14363.58,16364.79,20620.77,25529.93,38676.25
TRB2 (Van Muş Bitlis Hakkari),2017,3320.94,4979.36,6015.8,7123.89,7834.8,8674.99,9928.95,11587.78,14830.96,24714.29
TRC1 (Gaziantep Adıyaman Kilis),2017,5483.47,7191.37,8236.27,9418.77,10469.68,11957.52,13375.18,16075.83,20412.11,30826.09
TRC2 (Şanlıurfa Diyarbakır),2017,3034.04,4381.21,5479.13,6227.76,6883.7,7787.34,9475.1,11782.66,14870.83,24290.49
TRC3 (Mardin Batman Şırnak Siirt),2017,3344.35,4873.28,5736.1,6503.33,7309.24,8266.96,9577.03,11436.47,14078.05,22009.16
TR Türkiye,2016,4747.54,7267.23,9238.97,11091.98,13154.93,15425.71,18163.2,22083.99,28405.56,47869.21
TR10 (İstanbul),2016,7442.31,10190.48,12135.52,14566.67,17095.16,19705.14,22933.33,28068.93,38973.33,72016.52
TR21 (Tekirdağ Edirne Kırklareli),2016,6738.89,9561.9,11992.28,14303.57,17642.17,19736.49,22911.5,27527.95,33183.97,52598.5
TR22 (Balıkesir Çanakkale),2016,5131.81,7730.37,9555.56,11531.38,13076.05,14402.88,17188,20101.43,25925.5,41479.95
TR31 (İzmir),2016,6190.48,9821.56,12268.61,14495.78,16879.89,19384.2,22193.77,26035.57,35446.75,58795.15
TR32 (Aydın Denizli Muğla),2016,6504.65,8989.44,10752.38,12754.54,14086.16,16328.31,18654.38,22328.64,28263,43044.86
TR33 (Manisa Afyon Kütahya Uşak),2016,6230.33,8232.67,9780.75,11298.98,12831.24,14500.44,16575.33,19473.86,24333.33,38587.38
TR41 (Bursa Eskişehir Bilecik),2016,6802.1,10000,11854.79,13820.84,15640.66,17970,20652.06,24244.64,29676.95,46134.29
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2016,6873.01,9753.41,12084.62,13732.12,15094.43,16890.91,19129.42,22214.78,27748.89,43106.3
TR51 (Ankara),2016,7800.3,10522.5,12971.43,15458.33,17948.58,20811.98,24534.09,29173.18,41093.78,72413.81
TR52 (Konya Karaman),2016,5691.09,8261.9,9801.06,11054.02,12707.94,14918.08,17142.86,20959.65,26622.06,39723.24
TR61 (Antalya Isparta Burdur),2016,4895.24,7853.93,10176.37,12275.46,14408.23,16554.71,19430,23179.22,29601.09,47243.8
TR62 (Adana Mersin),2016,4450.23,6347.74,8272.16,9982.21,11811.48,14536.14,17563.97,21375.63,27198.81,45108.78
TR63 (Hatay Kahramanmaraş Osmaniye),2016,4314.28,5953.32,7033.83,8200.62,9770.36,11245.77,13494.78,16033.07,21076.44,35124.18
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2016,4846.17,6997.23,8964.68,10359.52,11930.23,13381.83,15857.95,18080,22962.4,36871.8
TR72 (Kayseri Sivas Yozgat),2016,4920,7231.95,8812.5,10645.97,12180.21,14111.43,16535.41,18963.68,23824.95,38756.78
TR81 (Zonguldak Karabük Bartın),2016,7425,9816.9,11315.44,12914.3,14473.24,16249.37,18835.6,22502.78,28142.56,42955.78
TR82 (Kastamonu Çankırı Sinop),2016,4646.04,7481.61,10024.23,11573.83,12713.41,14652.81,16596.13,19160.56,22715.82,36319.7
TR83 (Samsun Tokat Çorum Amasya),2016,5218.53,7338.89,9030.01,10636.02,11670.75,13467.29,15498.65,18645.84,23497.83,36867.62
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2016,5765.03,8459.84,9761.03,11140.1,12860.87,14840.38,16980.51,19904.76,25068,42320.05
TRA1 (Erzurum Erzincan Bayburt),2016,5225.85,7618.72,9577.15,11211.39,12326.68,14703.01,16444.55,18451.19,24527.78,36923.09
TRA2 (Ağrı Kars Iğdır Ardahan),2016,3733.22,4892.77,6125.51,7093.5,8079.77,9439.33,10973.62,13320.9,17509.61,27200.13
TRB1 (Malatya Elazığ Bingöl Tunceli),2016,5049.53,6205.95,7955.89,9300.47,10851.85,12694.16,15013.03,17642.26,21988.89,32970.97
TRB2 (Van Muş Bitlis Hakkari),2016,3090.5,4431.82,5402.06,6368.32,7398.31,8475.5,10121.13,12317.85,16031.18,28439.63
TRC1 (Gaziantep Adıyaman Kilis),2016,4280.6,5985.86,7233.65,8393.55,9341.78,10338.57,11471.72,13497.27,17645.64,28040.99
TRC2 (Şanlıurfa Diyarbakır),2016,2420.62,3763.63,4591.49,5484.42,6225.45,7252.47,8255.59,9585.8,13000,22342.85
TRC3 (Mardin Batman Şırnak Siirt),2016,2862.14,3843.55,4625.9,5465.15,6338.36,7294.79,8254.83,9987.98,12214.05,22281.69
TR Türkiye,2015,4072.64,6308.6,8020.48,9687.78,11518.86,13500,15995.25,19465.67,25238.1,41840.21
TR10 (İstanbul),2015,6377.16,8837.96,11058.33,12870,14680.21,17127.58,20081.67,24675.43,33422.29,58967.69
TR21 (Tekirdağ Edirne Kırklareli),2015,5141.42,8350.86,10151.72,11624.41,14021.91,15819.04,18351.8,20890.9,25058,38997.81
